subsidy_id,bromeliad_id,day_1,month_1,year_1,litter_1_mg,feces_1_mg,day_2,month_2,year_2,litter_2_mg,feces_2_mg,day_3,month_3,year_3,litter_3_mg,feces_3_mg
1,1,28,oct,2020,99.4,0,16,nov,2020,49.9,0,,,,,
2,2,28,oct,2020,49.9,51.9,16,nov,2020,50.1,0,,,,,
3,3,28,oct,2020,49.4,50.7,16,nov,2020,49.2,0,,,,,
4,4,28,oct,2020,100.2,0,16,nov,2020,50.6,0,,,,,
5,5,28,oct,2020,100.2,0,16,nov,2020,50.2,0,,,,,
6,6,28,oct,2020,49.7,50.6,16,nov,2020,50.1,0,,,,,
7,7,28,oct,2020,50.5,49.41,16,nov,2020,50,0,,,,,
8,8,28,oct,2020,99.4,0,16,nov,2020,49.5,0,,,,,
9,9,28,oct,2020,49.6,50,16,nov,2020,49.7,0,,,,,
10,10,28,oct,2020,100.3,0,16,nov,2020,49.5,0,,,,,
11,11,28,oct,2020,49.9,49.2,16,nov,2020,50,0,,,,,
12,12,28,oct,2020,99.5,0,16,nov,2020,50,0,,,,,
13,13,28,oct,2020,100.2,0,16,nov,2020,50.3,0,,,,,
14,14,28,oct,2020,49.7,49.4,16,nov,2020,49.5,0,,,,,
15,15,28,oct,2020,50,50,16,nov,2020,49.9,0,,,,,
16,16,28,oct,2020,99.9,0,16,nov,2020,49.7,0,,,,,
17,17,28,oct,2020,49.6,50.5,16,nov,2020,50.3,0,,,,,
18,18,28,oct,2020,49.4,50.4,16,nov,2020,50.2,0,,,,,
19,19,28,oct,2020,99.5,0,16,nov,2020,50,0,,,,,
20,20,28,oct,2020,49.7,50,16,nov,2020,49.7,0,,,,,
21,21,28,oct,2020,49.6,50.4,16,nov,2020,49.9,0,,,,,
22,22,28,oct,2020,99.6,0,16,nov,2020,49.9,0,,,,,
23,23,28,oct,2020,100.9,0,16,nov,2020,49.9,0,,,,,
24,24,28,oct,2020,100.2,0,16,nov,2020,50.2,0,,,,,
25,25,28,oct,2020,99.8,0,16,nov,2020,25.4,25,,,,,
26,26,28,oct,2020,49.5,49.3,16,nov,2020,24.5,25.4,,,,,
27,27,28,oct,2020,49.4,50.3,16,nov,2020,25.1,25.1,,,,,
28,28,28,oct,2020,99.2,0,16,nov,2020,24.7,25.2,,,,,
29,29,28,oct,2020,50.1,49.8,16,nov,2020,25.3,25.1,,,,,
30,30,28,oct,2020,100.7,0,16,nov,2020,24.9,25.2,,,,,
31,31,28,oct,2020,100.5,0,16,nov,2020,25.3,24.7,,,,,
32,32,28,oct,2020,49.6,49.5,16,nov,2020,24.7,25,,,,,
33,33,28,oct,2020,50.5,50.5,16,nov,2020,25.1,24.5,,,,,
34,34,28,oct,2020,100.7,0,16,nov,2020,25.2,25,,,,,
35,35,28,oct,2020,100.2,0,16,nov,2020,24.8,25,,,,,
36,36,28,oct,2020,50.4,50.5,16,nov,2020,25.4,24.8,,,,,
37,37,28,oct,2020,100,0,16,nov,2020,25.1,24.5,,,,,
38,38,28,oct,2020,100.1,0,16,nov,2020,25.3,25,,,,,
39,39,28,oct,2020,50.6,49.9,16,nov,2020,25.2,25.2,,,,,
40,40,28,oct,2020,100.7,0,16,nov,2020,24.9,25.1,,,,,
41,41,28,oct,2020,50.3,50.4,16,nov,2020,24.7,25.5,,,,,
42,42,28,oct,2020,100.1,0,16,nov,2020,25.2,25.4,,,,,
43,43,28,oct,2020,50.2,49.6,16,nov,2020,25.1,25.2,,,,,
44,44,28,oct,2020,49.7,49.6,16,nov,2020,25,25.2,,,,,
45,45,28,oct,2020,49.6,50.5,16,nov,2020,24.8,25.5,,,,,
46,46,28,oct,2020,100.1,0,16,nov,2020,25,25,,,,,
47,47,28,oct,2020,50.1,49.5,16,nov,2020,25.2,24.5,,,,,
48,48,28,oct,2020,100.9,0,16,nov,2020,24.7,24.9,,,,,
49,T1,,,,,,,,,,,7,12,2020,50.4,49.8
50,T2,,,,,,,,,,,7,12,2020,50.4,49.9
51,T3,,,,,,,,,,,7,12,2020,99.9,0
52,T4,,,,,,,,,,,7,12,2020,100.2,0
