nh4_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0484,0.0574,0.0575,0.0349,0.0344,0.0351,0.0705,0.0799,0.0685,0.0663,0.0701,0.0662
B,0.0539,0.0569,0.0513,0.0455,0.045,0.0456,0.076,0.0633,0.0649,0.0403,0.0411,0.0693
C,0.055,0.0562,0.0565,0.0454,0.0451,0.0447,0.0743,0.0638,0.064,0.0609,0.0562,0.0831
D,0.066,0.0597,0.0602,0.0455,0.0451,0.0426,0.0631,0.0614,0.0661,0.0604,0.0583,0.0576
E,0.1162,0.1213,0.1098,0.0452,0.0449,0.0449,0.0636,0.059,0.1061,0.0884,0.0567,0.0733
F,0.1777,0.1596,0.1754,0.0454,0.0452,0.0459,0.073,0.0544,0.0629,0.0537,0.0594,0.0564
G,0.1674,0.1225,0.2354,0.0455,0.0428,0.0452,0.0567,0.0519,0.0582,0.051,0.0601,0.0517
H,0.5179,0.5208,0.4815,0.0451,0.0454,0.0463,0.0521,0.05,0.0555,0.0504,0.0504,0.0539
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
B,20201028,20201028,20201028,,,,20201028,20201028,20201028,,20201028,20201028
C,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
D,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
E,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
F,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
G,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
H,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
