po4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0552,0.0556,0.0553,0.0507,0.051,0.0512,0.1497,0.2996,0.3276,0.2969,0.4646,0.405
B,0.0566,0.0574,0.0568,0.0436,0.0434,0.0438,0.3382,0.3098,0.4012,0.0707,0.1727,0.2818
C,0.0599,0.0606,0.061,0.0436,0.0436,0.0438,0.3935,0.4874,0.3842,0.3258,0.2066,0.4521
D,0.0648,0.0626,0.0639,0.0434,0.0437,0.0438,0.3206,0.164,0.2191,0.2504,0.1862,0.2026
E,0.1181,0.114,0.129,0.0432,0.0429,0.0436,0.2456,0.1804,1.0169,0.5761,0.2088,0.1848
F,0.1348,0.1367,0.1507,0.0433,0.043,0.0439,0.9188,0.2185,0.2303,0.2472,0.2139,0.1769
G,0.1529,0.188,0.1895,0.0433,0.0426,0.0433,0.1511,0.1736,0.2374,0.2537,0.2738,0.2103
H,0.2674,0.2757,0.246,0.043,0.0428,0.0434,0.183,0.2092,0.2252,0.224,0.0655,0.202
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
B,20201028,20201028,20201028,,,,20201028,20201028,20201028,,20201028,20201028
C,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
D,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
E,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
F,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
G,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
H,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
