po4_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0549,0.0559,0.0532,0.0444,0.0438,0.0446,0.0729,0.0763,0.0814,0.068,0.0699,0.0504
B,0.0548,0.0556,0.0558,0.0436,0.0436,0.0441,0.0794,0.0652,0.0659,0.0441,0.0445,0.0696
C,0.0603,0.0612,0.0598,0.0438,0.0435,0.0435,0.0442,0.0693,0.0736,0.0668,0.0648,0.1225
D,0.0637,0.0608,0.0633,0.0487,0.0433,0.044,0.063,0.0631,0.115,0.0689,0.0664,0.0717
E,0.1149,0.1188,0.1027,0.0435,0.0434,0.0439,0.1476,0.2162,0.0445,0.0739,0.0438,0.0885
F,0.1479,0.1446,0.1309,0.0436,0.0427,0.0438,0.086,0.1592,0.141,0.0986,0.0902,0.0894
G,0.1824,0.1699,0.1924,0.0434,0.043,0.0434,0.0876,0.0685,0.1404,0.1095,0.0945,0.197
H,0.2792,0.2573,0.2665,0.0439,0.0426,0.0433,0.1298,0.1005,0.1608,0.0946,0.106,0.0839
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,
B,,,,,,,7,8,9,,,12
C,,,,,,,,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,,28,,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,
B,20201130,20201130,20201130,,,,20201130,20201130,20201130,,,20201130
C,20201130,20201130,20201130,,,,,20201130,20201130,20201130,20201130,20201130
D,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
E,20201130,20201130,20201130,,,,20201130,20201130,,20201130,,20201130
F,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
G,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
H,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
