no2_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0433,0.0441,0.042,0.0422,0.0422,0.0423,0.0474,0.0494,0.0489,0.0514,0.0474,0.048
B,0.0432,0.0445,0.0443,0.0425,0.0426,0.0424,0.0658,0.0886,0.0591,0.0585,0.0487,0.0481
C,0.0524,0.0529,0.0525,0.0429,0.0421,0.0429,0.0892,0.138,0.0749,0.0716,0.0483,0.048
D,0.0626,0.0658,0.0658,0.0621,0.0433,0.0428,0.0831,0.1337,0.0763,0.0812,0.0479,0.0481
E,0.1606,0.1625,0.1628,0.0427,0.0441,0.0422,0.048,0.0487,0.0472,0.0504,0.0473,0.0479
F,0.2838,0.284,0.2845,0.0429,0.0432,0.0433,0.0477,0.0492,0.0497,0.0471,0.0476,0.0478
G,0.5299,0.5381,0.5302,0.0438,0.0439,0.0442,0.0489,0.0471,0.0473,0.0476,0.0472,0.0476
H,1.249,1.2381,1.2397,0.0452,0.0422,0.0422,0.0479,0.0466,0.047,0.0471,0.0482,0.0482
,,,,,,,,,,,,
no2no3_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0705,0.0701,0.0691,0.0667,0.0692,0.0684,0.7127,1.4694,1.5069,1.5858,0.047,0.0474
B,0.0702,0.0747,0.0753,0.0757,0.078,0.074,1.0365,0.6913,1.0546,1.1498,0.0464,0.0463
C,0.081,0.0823,0.0803,0.0798,0.0798,0.0801,0.8134,0.6834,1.016,0.9436,0.0455,0.0478
D,0.0908,0.0921,0.0913,0.0866,0.0846,0.0843,0.9258,0.7738,1.1174,1.0955,0.0454,0.048
E,0.1885,0.19,0.1897,0.1418,0.1466,0.1444,0.047,0.0485,0.0472,0.0482,0.0461,0.0478
F,0.3016,0.3053,0.3056,0.1883,0.1879,0.1918,0.0445,0.0482,0.0487,0.047,0.047,0.0477
G,0.5158,0.5281,0.5371,0.3216,0.3401,0.3264,0.0477,0.0459,0.0468,0.0473,0.047,0.0461
H,1.1482,1.1676,1.1757,0.7481,0.7396,0.7465,0.0479,0.0465,0.0467,0.0466,0.0481,0.0453
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.1,0.1,0.1,,,,,,
C,,,,0.5,0.5,0.5,,,,,,
D,,,,1,1,1,,,,,,
E,,,,5,5,5,,,,,,
F,,,,10,10,10,,,,,,
G,,,,20,20,20,,,,,,
H,,,,50,50,50,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,H0_T1,H0_T2,H0_T3,H0_T4,,
B,,,,,,,H1_T1,H1_T2,H1_T3,H1_T4,,
C,,,,,,,H4_T1,H4_T2,H4_T3,H4_T4,,
D,,,,,,,H8_T1,H8_T2,H8_T3,H8_T4,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,,
B,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,,
C,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,,
D,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,20201208,,
E,20201208,20201208,20201208,20201208,20201208,20201208,,,,,,
F,20201208,20201208,20201208,20201208,20201208,20201208,,,,,,
G,20201208,20201208,20201208,20201208,20201208,20201208,,,,,,
H,20201208,20201208,20201208,20201208,20201208,20201208,,,,,,
