bact_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0385,0.0354,0.0351,0.0468,0.0476,0.0481,0.0719,0.0775,0.0504,0.0467,0.0466,0.0472
B,0.0365,0.0372,0.0362,0.0469,0.0499,0.0473,0.073,0.073,0.0529,0.0487,0.0466,0.0468
C,0.0421,0.0407,0.0382,0.0513,0.0468,0.0467,0.0467,0.0466,0.0466,0.0467,0.0465,0.0468
D,0.0405,0.0408,0.0422,0.0485,0.0467,0.0468,0.0482,0.0464,0.0465,0.0465,0.0463,0.0478
E,0.045,0.0442,0.0446,0.047,0.0478,0.0468,0.0468,0.0468,0.0467,0.0465,0.0464,0.047
F,0.0527,0.0526,0.0524,0.0479,0.0466,0.0467,0.0469,0.0468,0.0468,0.0471,0.047,0.0472
G,0.0675,0.0687,0.0707,0.0472,0.047,0.0469,0.0474,0.0468,0.0467,0.0466,0.0463,0.0473
H,0.1042,0.101,0.1007,0.047,0.0472,0.0471,0.0519,0.0467,0.0509,0.0468,0.0465,0.0504
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.015625,0.015625,0.015625,,,,,,,,,
C,0.03125,0.03125,0.03125,,,,,,,,,
D,0.0625,0.0625,0.0625,,,,,,,,,
E,0.125,0.125,0.125,,,,,,,,,
F,0.25,0.25,0.25,,,,,,,,,
G,0.5,0.5,0.5,,,,,,,,,
H,1,1,1,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,T1,T2,T3,T4,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201210,20201210,20201210,,,,20201210,20201210,20201210,20201210,,
B,20201210,20201210,20201210,,,,,,,,,
C,20201210,20201210,20201210,,,,,,,,,
D,20201210,20201210,20201210,,,,,,,,,
E,20201210,20201210,20201210,,,,,,,,,
F,20201210,20201210,20201210,,,,,,,,,
G,20201210,20201210,20201210,,,,,,,,,
H,20201210,20201210,20201210,,,,,,,,,
